Banco de México,,,,
,,,,
Tasas y precios de referencia,,,,
Valores Públicos,,,,
,,,,
Fecha de consulta: 19/05/2020 01:31:49,,,,
,,,,
,,,,
,,,,
Título,TIIE a 1 dia ,"TIIE a 28 días, Tasa de interés promedio mensual, en por ciento anual","Fondeo promedio ponderado bancario, Tasa de interés promedio mensual, en por ciento anual","Cetes 28 días, Tasa de rendimiento promedio mensual, en por ciento anual"
Periodo disponible,Ene 2006 - Abr 2020,Mar 1995 - Abr 2020,Nov 1998 - Abr 2020,Ene 1978 - Abr 2020
Periodicidad,Mensual,Mensual,Mensual,Mensual
Cifra,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Unidad,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Base,,,,
Aviso,,,,
Tipo de información,Niveles,Niveles,Niveles,Niveles
Fecha,SF331450,SF283,SF17863,SF282
01/08/2001,N/E,9.29,8.59,7.51
01/09/2001,N/E,10.95,9.53,9.32
01/10/2001,N/E,10.34,9.2,8.36
01/11/2001,N/E,8.9,7.71,7.43
01/12/2001,N/E,7.94,6.74,6.29
01/01/2002,N/E,7.97,7.2,6.97
01/02/2002,N/E,8.99,8.15,7.91
01/03/2002,N/E,8.47,7.59,7.23
01/04/2002,N/E,6.85,5.42,5.76
01/05/2002,N/E,7.73,7.09,6.61
01/06/2002,N/E,8.42,7.26,7.3
01/07/2002,N/E,8.34,6.92,7.38
01/08/2002,N/E,7.61,6.53,6.68
01/09/2002,N/E,8.37,7.08,7.34
01/10/2002,N/E,8.67,7.73,7.66
01/11/2002,N/E,8.33,7.34,7.3
01/12/2002,N/E,8.26,7.5,6.88
01/01/2003,N/E,9.14,8.29,8.27
01/02/2003,N/E,9.91,9.12,9.04
01/03/2003,N/E,9.96,9.08,9.17
01/04/2003,N/E,8.58,7.71,7.86
01/05/2003,N/E,5.92,5.15,5.25
01/06/2003,N/E,5.79,5.25,5.2
01/07/2003,N/E,5.3,4.5,4.57
01/08/2003,N/E,4.97,4.22,4.45
01/09/2003,N/E,5.05,4.32,4.73
01/10/2003,N/E,5.6,5.13,5.11
01/11/2003,N/E,5.35,4.99,4.99
01/12/2003,N/E,6.4,6.08,6.06
01/01/2004,N/E,5.36,5.07,4.95
01/02/2004,N/E,5.79,5.67,5.57
01/03/2004,N/E,6.49,6.41,6.28
01/04/2004,N/E,6.17,5.96,5.98
01/05/2004,N/E,6.95,6.41,6.59
01/06/2004,N/E,7.02,6.36,6.57
01/07/2004,N/E,7.11,6.64,6.81
01/08/2004,N/E,7.5,6.96,7.21
01/09/2004,N/E,7.78,7.29,7.36
01/10/2004,N/E,8.05,7.67,7.76
01/11/2004,N/E,8.6,8.01,8.2
01/12/2004,N/E,8.93,8.55,8.5
01/01/2005,N/E,8.97,8.73,8.6
01/02/2005,N/E,9.47,9.12,9.15
01/03/2005,N/E,9.78,9.28,9.41
01/04/2005,N/E,10.01,9.52,9.63
01/05/2005,N/E,10.12,9.75,9.75
01/06/2005,N/E,10.01,9.75,9.63
01/07/2005,N/E,10.01,9.75,9.61
01/08/2005,N/E,9.98,9.71,9.6
01/09/2005,N/E,9.65,9.43,9.21
01/10/2005,N/E,9.41,9.23,8.91
01/11/2005,N/E,9.17,8.96,8.71
01/12/2005,N/E,8.72,8.4,8.22
01/01/2006,8.21,8.41,8.2,7.88
01/02/2006,7.74,7.97,7.73,7.61
01/03/2006,7.46,7.68,7.45,7.37
01/04/2006,7.18,7.51,7.18,7.17
01/05/2006,7.02,7.32,7.02,7.02
01/06/2006,7.03,7.33,7.02,7.02
01/07/2006,7.02,7.31,7.01,7.03
01/08/2006,7.03,7.3,7.01,7.03
01/09/2006,7.06,7.31,7.03,7.06
01/10/2006,7.02,7.31,7.01,7.05
01/11/2006,7.04,7.3,7.02,7.04
01/12/2006,7.07,7.34,7.05,7.04
01/01/2007,7.03,7.41,7.02,7.04
01/02/2007,7.03,7.46,7.02,7.04
01/03/2007,7.03,7.46,7.02,7.04
01/04/2007,7.06,7.47,7.04,7.01
01/05/2007,7.29,7.7,7.28,7.24
01/06/2007,7.27,7.7,7.27,7.2
01/07/2007,7.28,7.7,7.27,7.19
01/08/2007,7.27,7.71,7.26,7.2
01/09/2007,7.24,7.7,7.24,7.21
01/10/2007,7.27,7.73,7.29,7.2
01/11/2007,7.5,7.93,7.5,7.44
01/12/2007,7.53,7.93,7.52,7.44
